magnitude
96
34.6505
53.2395
49.2364
0
5.87859
7.35675
7.41725
20.4046
5.7736
4.42115
2.67854
0
11.408
7.64243
2.32308
0
2.05307
5.96328
7.84329
0
1.41439
2.02914
2.28487
6.88979
2.10717
1.7253
1.10811
0
5.20138
3.63041
1.14516
0
1.07925
3.22416
4.35189
0
0.821856
1.2037
1.38182
4.24271
1.31979
1.09799
0.715893
0
3.45461
2.44219
0.779746
0
0.751619
2.26909
3.09365
0
0.595331
0.879663
1.01844
3.15262
0.988425
0.828565
0.544189
0
2.66272
1.89483
0.608861
0
0.594099
1.80403
2.47355
0
0.481193
0.714725
0.831686
2.58729
0.8151
0.686495
0.452956
0
2.23609
1.59807
0.515667
0
0.50728
1.5465
2.12867
0
0.417235
0.622002
0.726401
2.26777
0.716934
0.60589
0.401123
0
1.99331
1.42917
0.462633
0
0.457956
1.4004
1.9334
0
0.381215
0.569963
0.667549
2.08999
0.662598
0.561537
0.37279
0
1.86265
1.3391
0.434637
0
0.432522
1.32608
1.83556
0
0.363789
0.545296
0.640278
2.00967
0.638733
0.542664
0.361157
0
1.81347
1.30694
0.425236
0
0.425247
1.30696
1.81348
0
0.36116
0.542666
0.638734
2.00968
0.640281
0.545297
0.363789
0
1.83556
1.32608
0.432522
0
0.43464
1.3391
1.86266
0
0.372792
0.561536
0.662597
2.08999
0.66755
0.569963
0.381215
0
1.9334
1.4004
0.457955
0
0.462636
1.42917
1.99331
0
0.401125
0.60589
0.716933
2.26778
0.726403
0.622002
0.417235
0
2.12867
1.5465
0.507281
0
0.51567
1.59808
2.23609
0
0.452958
0.686494
0.8151
2.58729
0.831687
0.714725
0.481195
0
2.47355
1.80403
0.5941
