bin,count
0,2
1,2
2,6
3,9
4,19
5,24
6,24
7,32
8,43
9,49
10,53
11,45
12,23
13,30
14,15
15,11
16,10
17,9
18,6
19,1
20,4
21,8
22,5
23,5
24,2
25,3
26,5
27,4
28,2
29,5
30,3
31,2
32,4
33,12
34,4
35,6
36,9
37,3
38,2
39,6
40,0
41,2
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,0
