bin,count
0,1
1,0
2,0
3,0
4,0
5,1
6,5
7,9
8,9
9,20
10,26
11,31
12,47
13,64
14,51
15,45
16,49
17,22
18,14
19,9
20,9
21,2
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,2
38,1
39,7
40,12
41,6
42,15
43,15
44,16
45,4
46,8
47,5
48,5
49,1
