Index,Value
429,0.194921
430,0.130225
431,0.0655297
432,0.000833882
433,-0.0638761
434,-0.128586
435,-0.193296
436,-0.258006
437,-0.318321
438,-0.378635
439,-0.43895
440,-0.499264
441,-0.551073
442,-0.602882
443,-0.654691
444,-0.7065
445,-0.746274
446,-0.786047
447,-0.82582
448,-0.865593
449,-0.890619
450,-0.915646
451,-0.940673
452,-0.9657
453,-0.974275
454,-0.98285
455,-0.991425
456,-1
457,-0.991539
458,-0.983077
459,-0.974616
460,-0.966155
461,-0.941235
462,-0.916314
463,-0.891393
464,-0.866473
465,-0.826791
466,-0.787109
467,-0.747427
468,-0.707745
469,-0.656006
470,-0.604267
471,-0.552528
472,-0.500789
473,-0.440518
474,-0.380248
475,-0.319977
476,-0.259706
477,-0.195011
478,-0.130316
479,-0.0656215
480,-0.000926536
481,0.0637842
482,0.128495
483,0.193206
484,0.257917
485,0.318233
486,0.37855
487,0.438867
488,0.499184
489,0.550997
490,0.602809
491,0.654622
492,0.706435
493,0.746213
494,0.785991
495,0.825768
496,0.865546
497,0.890579
498,0.915611
499,0.940643
500,0.965676
501,0.974257
502,0.982838
503,0.991419
504,1
505,0.991544
506,0.983089
507,0.974634
508,0.966179
509,0.941264
510,0.916349
511,0.891434
512,0.866519
513,0.826842
514,0.787165
515,0.747488
516,0.707811
517,0.656075
518,0.60434
519,0.552604
520,0.500869
521,0.440601
522,0.380332
523,0.320064
524,0.259796
525,0.195102
526,0.130408
527,0.0657134
528,0.00101919
529,-0.0636924
530,-0.128404
531,-0.193115
532,-0.257827
533,-0.318146
534,-0.378465
535,-0.438785
536,-0.499104
537,-0.55092
538,-0.602737
539,-0.654553
540,-0.706369
541,-0.746152
542,-0.785935
543,-0.825717
544,-0.8655
545,-0.890538
546,-0.915576
547,-0.940614
548,-0.965652
549,-0.974238
550,-0.982825
551,-0.991412
552,-0.999999
553,-0.99155
554,-0.983101
555,-0.974652
556,-0.966203
557,-0.941294
558,-0.916384
559,-0.891475
560,-0.866565
561,-0.826893
562,-0.787221
563,-0.747548
564,-0.707876
565,-0.656144
566,-0.604413
567,-0.552681
568,-0.500949
569,-0.440683
570,-0.380417
571,-0.320151
572,-0.259885
573,-0.195192
574,-0.130499
575,-0.0658052
576,-0.00111184
577,0.0636005
578,0.128313
579,0.193025
580,0.257737
581,0.318059
582,0.37838
583,0.438702
584,0.499023
585,0.550844
586,0.602664
587,0.654484
588,0.706304
589,0.746091
590,0.785879
591,0.825666
592,0.865453
593,0.890497
594,0.91554
595,0.940584
596,0.965627
597,0.97422
598,0.982813
599,0.991406
600,0.999999
601,0.991556
602,0.983113
603,0.97467
604,0.966227
605,0.941323
606,0.916419
607,0.891515
608,0.866612
609,0.826944
610,0.787277
611,0.747609
612,0.707942
613,0.656214
614,0.604486
615,0.552757
616,0.501029
617,0.440766
618,0.380502
619,0.320238
620,0.259975
621,0.195282
622,0.13059
623,0.0658971
624,0.0012045
625,-0.0635086
626,-0.128222
627,-0.192935
628,-0.257648
629,-0.317972
630,-0.378296
631,-0.438619
632,-0.498943
633,-0.550767
634,-0.602591
635,-0.654414
636,-0.706238
637,-0.74603
638,-0.785823
639,-0.825615
640,-0.865407
641,-0.890456
642,-0.915505
643,-0.940554
644,-0.965603
645,-0.974202
646,-0.982801
647,-0.9914
648,-0.999999
649,-0.991562
650,-0.983125
651,-0.974688
652,-0.966251
653,-0.941353
654,-0.916454
655,-0.891556
656,-0.866658
657,-0.826995
658,-0.787332
659,-0.74767
660,-0.708007
661,-0.656283
662,-0.604558
663,-0.552834
664,-0.50111
665,-0.440848
666,-0.380587
667,-0.320326
668,-0.260064
669,-0.195373
670,-0.130681
671,-0.0659889
672,-0.00129715
673,0.0634167
674,0.128131
675,0.192845
676,0.257558
677,0.317885
678,0.378211
679,0.438537
680,0.498863
681,0.55069
682,0.602518
683,0.654345
684,0.706173
685,0.74597
686,0.785767
687,0.825564
688,0.865361
689,0.890415
690,0.91547
691,0.940525
692,0.965579
693,0.974184
694,0.982789
695,0.991394
696,0.999999
697,0.991568
698,0.983137
699,0.974706
700,0.966275
701,0.941382
702,0.916489
703,0.891597
704,0.866704
705,0.827046
706,0.787388
707,0.74773
708,0.708072
709,0.656352
710,0.604631
711,0.55291
712,0.50119
713,0.440931
714,0.380672
715,0.320413
716,0.260154
717,0.195463
718,0.130772
719,0.0660808
720,0.0013898
721,-0.0633249
722,-0.12804
723,-0.192754
724,-0.257469
725,-0.317797
726,-0.378126
727,-0.438454
728,-0.498783
729,-0.550614
730,-0.602445
731,-0.654276
732,-0.706107
733,-0.745909
734,-0.785711
735,-0.825512
736,-0.865314
737,-0.890374
738,-0.915435
739,-0.940495
740,-0.965555
741,-0.974166
742,-0.982777
743,-0.991388
744,-0.999999
745,-0.991574
746,-0.983149
747,-0.974724
748,-0.966299
749,-0.941411
750,-0.916524
751,-0.891637
752,-0.86675
753,-0.827097
754,-0.787444
755,-0.747791
756,-0.708138
757,-0.656421
758,-0.604704
759,-0.552987
760,-0.50127
761,-0.441013
762,-0.380757
763,-0.3205
764,-0.260243
765,-0.195553
766,-0.130863
767,-0.0661727
768,-0.00148246
769,0.063233
770,0.127948
771,0.192664
772,0.257379
773,0.31771
774,0.378041
775,0.438372
776,0.498702
777,0.550537
778,0.602372
779,0.654207
780,0.706041
781,0.745848
782,0.785655
783,0.825461
784,0.865268
785,0.890334
786,0.915399
787,0.940465
788,0.965531
789,0.974148
790,0.982765
791,0.991382
792,0.999999
793,0.99158
794,0.983161
795,0.974741
796,0.966322
797,0.941441
798,0.916559
799,0.891678
800,0.866796
801,0.827148
802,0.7875
803,0.747852
804,0.708203
805,0.65649
806,0.604777
807,0.553063
808,0.50135
809,0.441096
810,0.380841
811,0.320587
812,0.260333
813,0.195643
814,0.130954
815,0.0662645
816,0.00157511
817,-0.0631411
818,-0.127857
819,-0.192574
820,-0.25729
821,-0.317623
822,-0.377956
823,-0.438289
824,-0.498622
825,-0.55046
826,-0.602299
827,-0.654137
828,-0.705976
829,-0.745787
830,-0.785599
831,-0.82541
832,-0.865221
833,-0.890293
834,-0.915364
835,-0.940436
836,-0.965507
837,-0.97413
838,-0.982753
839,-0.991376
840,-0.999999
841,-0.991586
842,-0.983172
843,-0.974759
844,-0.966346
845,-0.94147
846,-0.916594
847,-0.891719
848,-0.866843
849,-0.827199
850,-0.787556
851,-0.747912
852,-0.708269
853,-0.656559
854,-0.60485
855,-0.55314
856,-0.50143
857,-0.441178
858,-0.380926
859,-0.320674
860,-0.260422
861,-0.195734
862,-0.131045
863,-0.0663564
864,-0.00166776
865,0.0630492
866,0.127766
867,0.192483
868,0.2572
869,0.317536
870,0.377871
871,0.438206
872,0.498542
873,0.550384
874,0.602226
875,0.654068
876,0.70591
877,0.745726
878,0.785542
879,0.825359
880,0.865175
881,0.890252
882,0.915329
883,0.940406
884,0.965483
885,0.974112
886,0.982741
887,0.99137
888,0.999999
889,0.991591
890,0.983184
891,0.974777
892,0.96637
893,0.9415
894,0.916629
895,0.891759
896,0.866889
897,0.82725
898,0.787612
899,0.747973
900,0.708334
901,0.656628
902,0.604922
903,0.553216
904,0.50151
905,0.441261
906,0.381011
907,0.320761
908,0.260512
909,0.195824
910,0.131136
911,0.0664482
912,0.00176042
913,-0.0629574
914,-0.127675
915,-0.192393
916,-0.257111
917,-0.317448
918,-0.377786
919,-0.438124
920,-0.498461
921,-0.550307
922,-0.602153
923,-0.653999
924,-0.705844
925,-0.745665
926,-0.785486
927,-0.825307
928,-0.865128
929,-0.890211
930,-0.915294
931,-0.940376
932,-0.965459
933,-0.974094
934,-0.982729
935,-0.991363
936,-0.999998
937,-0.991597
938,-0.983196
939,-0.974795
940,-0.966394
941,-0.941529
942,-0.916664
943,-0.8918
944,-0.866935
945,-0.827301
946,-0.787667
947,-0.748033
948,-0.7084
949,-0.656697
950,-0.604995
951,-0.553293
952,-0.501591
953,-0.441343
954,-0.381096
955,-0.320848
956,-0.260601
957,-0.195914
958,-0.131227
959,-0.0665401
960,-0.00185307
961,0.0628655
962,0.127584
963,0.192303
964,0.257021
965,0.317361
966,0.377701
967,0.438041
968,0.498381
969,0.55023
970,0.60208
971,0.653929
972,0.705779
973,0.745605
974,0.78543
975,0.825256
976,0.865082
977,0.89017
978,0.915258
979,0.940346
980,0.965434
981,0.974075
982,0.982716
983,0.991357
984,0.999998
985,0.991603
986,0.983208
987,0.974813
988,0.966418
989,0.941559
990,0.916699
991,0.89184
992,0.866981
993,0.827352
994,0.787723
995,0.748094
996,0.708465
997,0.656766
998,0.605068
999,0.553369
1000,0.501671
1001,0.441426
1002,0.381181
1003,0.320936
1004,0.260691
1005,0.196004
1006,0.131318
1007,0.0666319
1008,0.00194572
1009,-0.0627736
1010,-0.127493
1011,-0.192212
1012,-0.256932
1013,-0.317274
1014,-0.377616
1015,-0.437958
1016,-0.498301
1017,-0.550154
1018,-0.602007
1019,-0.65386
1020,-0.705713
1021,-0.745544
1022,-0.785374
1023,-0.825205
1024,-0.865035
1025,-0.890129
1026,-0.915223
1027,-0.940317
1028,-0.96541
1029,-0.974057
1030,-0.982704
1031,-0.991351
1032,-0.999998
1033,-0.991609
1034,-0.98322
1035,-0.974831
1036,-0.966441
1037,-0.941588
1038,-0.916734
1039,-0.891881
1040,-0.867027
1041,-0.827403
1042,-0.787779
1043,-0.748155
1044,-0.70853
1045,-0.656835
1046,-0.605141
1047,-0.553446
1048,-0.501751
1049,-0.441508
1050,-0.381265
1051,-0.321023
1052,-0.26078
1053,-0.196095
1054,-0.131409
1055,-0.0667238
1056,-0.00203838
1057,0.0626817
1058,0.127402
1059,0.192122
1060,0.256842
1061,0.317187
1062,0.377531
1063,0.437876
1064,0.49822
1065,0.550077
1066,0.601934
1067,0.653791
1068,0.705648
1069,0.745483
1070,0.785318
1071,0.825154
1072,0.864989
1073,0.890088
1074,0.915188
1075,0.940287
1076,0.965386
1077,0.974039
1078,0.982692
1079,0.991345
1080,0.999998
1081,0.991615
1082,0.983232
1083,0.974848
1084,0.966465
1085,0.941617
1086,0.916769
1087,0.891921
1088,0.867074
1089,0.827454
1090,0.787835
1091,0.748215
1092,0.708596
1093,0.656905
